topology,algo,run,phase,switch,init_assigned_controller,assigned_controller,is_migrated,init_path,final_path,init_solver_prop_ms,init_solver_total_rt_ms,init_real_queue_ms,init_switch_load,init_scaled_switch_load,solver_prop_ms,solver_queue_ms,solver_total_rt_ms,real_queue_ms,delta_rt_if_migrated,cc_transfer_ms,steiner_ms,load_scale_alpha,scaled_switch_load,alpha,beta,link_sens,k_paths,load_sens,controller_sens
AttMpls,SM,0,B1,1,1,1,0,1,,0.0,15.926956,0.0,154,154,0.0,1.7934,16.883956,1.7934,0.0,0.0,0.0,0,154,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,2,2,2,0,2,,0.0,20.208263,0.0,171,171,0.0,5.117707,20.208263,5.117707,0.0,0.0,0.0,0,171,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,3,3,3,0,3,,0.0,inf,0.0,163,163,0.0,9.881423,24.971978,9.881423,0.0,0.0,0.0,0,163,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,4,4,4,0,4,,0.0,inf,0.0,152,152,0.0,104.166667,119.257222,104.166667,0.0,0.0,0.0,0,152,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,5,4,1,1,5->8->7->4,,11.517401,inf,0.0,216,216,7.033591,1.7934,23.917547,1.7934,0.0,0.0,0.0,0,216,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,6,4,4,0,6->9->4,,10.84589,inf,0.0,179,179,10.84589,104.166667,130.103112,104.166667,0.0,0.0,0.0,0,179.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,7,4,1,1,7->4,,5.777645,inf,0.0,202,202,1.297604,1.7934,18.18156,1.7934,0.0,0.0,0.0,0,202.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,8,4,1,1,8->7->4,,7.771976,inf,0.0,220,220,3.288166,1.7934,20.172122,1.7934,0.0,0.0,0.0,0,220.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,9,4,4,0,9->4,,7.384926,inf,0.0,191,191,7.384926,104.166667,126.642148,104.166667,0.0,0.0,0.0,0,191,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,10,4,4,0,10->4,,7.919298,inf,0.0,183,183,7.919298,104.166667,127.17652,104.166667,0.0,0.0,0.0,0,183,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,11,4,4,0,11->14->10->4,,23.864029,inf,0.0,180,180,23.864029,104.166667,143.121251,104.166667,0.0,0.0,0.0,0,180,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,12,4,4,0,12->14->9->4,,20.94023,inf,0.0,121,121,20.354661,104.166667,139.611883,104.166667,0.0,0.0,0.0,0,121,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,13,3,3,0,13->14->10->3,,17.056511,inf,0.0,166,166,17.056511,9.881423,42.02849,9.881423,0.0,0.0,0.0,0,166.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,14,3,4,1,14->10->3,,12.999735,inf,0.0,147,147,16.735456,104.166667,135.992678,104.166667,0.0,0.0,0.0,0,147.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,15,3,4,1,15->6->10->3,,18.153713,inf,0.0,187,187,17.295344,104.166667,136.552566,104.166667,0.0,0.0,0.0,0,187,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,16,3,3,0,16->3,,14.790054,inf,0.0,184,184,14.790054,9.881423,39.762032,9.881423,0.0,0.0,0.0,0,184,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,17,3,3,0,17->3,,6.647635,inf,0.0,144,144,6.647635,9.881423,31.619613,9.881423,0.0,0.0,0.0,0,144,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,18,3,3,0,18->3,,29.905639,inf,0.0,165,165,29.905639,9.881423,54.877617,9.881423,0.0,0.0,0.0,0,165,0.5,0.5,0.0,5,0.0,0.0
AttMpls,SM,0,B1,19,3,3,0,19->22->3,,28.851836,inf,0.0,171,171,28.851836,9.881423,53.823814,9.881423,0.0,0.0,0.0,0,171,0.5,0.5,0.0,5,0.0,0.0
